quality,video,frame_index,mask_threshold,roi_present,liver_present,liver_roi_ratio,liver_ratio_ok,raw_la_area_px,la_area_px,la_present,la_area_ok,la_std,la_std_ok,glcm_entropy,la_entropy_ok,border_evidence,base_lumen_rule,raw_capture,decision
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.1,1,1,0.4841809641368912,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.2,1,1,0.4772330629612393,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.3,1,1,0.4727487114959147,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.4,1,1,0.468782207756984,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.5,1,1,0.46484215099036785,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.6,1,1,0.4609764461842149,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.7,1,1,0.45660977908072453,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.8,1,1,0.45153365473450807,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,11,0.9,1,1,0.44279713680236943,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.1,1,1,0.48391413137137934,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.2,1,1,0.4769563229854964,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.3,1,1,0.4724312656782592,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.4,1,1,0.46854004790559095,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.5,1,1,0.4646522877946687,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.6,1,1,0.460723502323422,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.7,1,1,0.4564966071877356,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.8,1,1,0.45147796285563085,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,12,0.9,1,1,0.4426471269840601,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,13,0.1,1,1,0.47911315846161495,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,13,0.2,1,1,0.47258907718776233,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,13,0.3,1,1,0.46804902136454746,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,13,0.4,1,1,0.46390388836495045,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
clear,20260501_135548_PACIENTE 003_202605020016-converted.mp4,13,0.5,1,1,0.4598234613440499,1,0,0,0,0,,0,,0,0,0,0,liver_without_reference
